x,y,z,yaw,velocity,change_flag
-9.6924,48.9565,-1.2109,-1.8401,8.0000,0
-22.9939,0.7676,-2.1589,-1.8401,8.0000,0
-34.6290,-41.3845,-2.9882,-1.5437,8.0000,0
-34.3420,-51.9604,-3.1133,-1.8059,8.0000,0
-40.7804,-78.8417,-3.5175,-1.8296,8.0000,0
-53.5767,-127.1725,-4.1373,-1.8296,8.0000,0
-59.2066,-148.4363,-4.4100,-1.8288,8.0000,0
-71.9637,-196.7756,-5.1644,-1.8288,8.0000,0
-84.7208,-245.1149,-5.9187,-1.8288,8.0000,0
-85.9658,-249.8327,-5.9923,-1.8314,8.0000,0
-98.8467,-298.1380,-6.8175,-1.8314,8.0000,0
-104.8981,-320.8317,-7.2051,-0.5125,8.0000,0
-61.3240,-345.3508,-7.5440,-0.5125,8.0000,0
-51.2289,-351.0313,-7.6225,0.6889,8.0000,0
-28.5577,-332.3615,-7.2879,2.7663,8.0000,0
-73.7739,-314.5467,-7.2650,1.3511,8.0000,0
-65.5460,-277.6942,-6.4646,2.6238,8.0000,0
-84.2615,-267.0338,-6.3460,1.4594,8.0000,0
-82.8473,-254.3931,-6.0469,1.3127,8.0000,0
-70.0864,-206.0539,-5.3491,1.3127,8.0000,0
-57.3255,-157.7148,-4.6512,1.3127,8.0000,0
-44.5646,-109.3757,-3.9534,1.3127,8.0000,0
-37.5883,-82.9491,-3.5719,1.3043,8.0000,0
-30.2244,-55.9692,-3.1536,1.5322,8.0000,0
-29.6592,-41.3430,-2.8819,1.3111,8.0000,0
-20.6844,-7.5692,-2.2334,1.2390,8.0000,0
-11.4816,19.1425,-1.9197,1.2846,8.0000,0
-2.4685,49.7686,-1.1642,1.2846,8.0000,0
